course_name,level,department,description,keywords,duration,fees_domestic,fees_international,min_gpa,min_ielts,trending_score,career_prospects,modules
Cybersecurity MSc with Placement,masters with placement,School of Computing,Cybersecurity masters with a 6-month industry placement,"cybersecurity,security,placement,forensics,networking",18 months,10500,16500,3.0,6.5,8.9,"Cyber Security Specialist, Forensics Analyst","Network Security Fundamentals (Core): Introduces network security protocols and configurations.
Cyber Threat Mitigation (Core): Focuses on strategies to prevent and respond to cyber attacks.
Industry Placement (Core): A 6-month placement applying cybersecurity skills in a professional setting.
Digital Forensics Techniques (Core): Covers forensic analysis for cybercrime investigations.
Capstone Project (Core): A project integrating placement experience with cybersecurity research."
Cloud Computing MSc,masters,School of Computing,Specialized program in cloud technologies and scalable infrastructure,"cloud computing,AWS,azure,devops,containers",1 year,10500,16500,3.0,6.5,8.9,"Cloud Architect, DevOps Engineer","Cloud Architecture Design (Core): Covers designing scalable cloud solutions using AWS and Azure.
DevOps Practices (Core): Introduces CI/CD pipelines and automation in cloud environments.
Containerization Technologies (Core): Focuses on Docker and Kubernetes for container management.
Cloud Security (Core): Explores security practices for protecting cloud-based systems.
Dissertation (Core): A research project on cloud computing innovations or challenges."
Software Engineering BSc,undergraduate,School of Computing,Focuses on software development methodologies and system design,"software engineering,programming,agile,devops",3 years,9250,13500,2.8,6.0,8.3,"Software Engineer, Full Stack Developer","Programming Fundamentals (Core): Teaches coding in Python and Java for software development.
Agile Software Development (Core): Covers agile methodologies like Scrum and Kanban.
System Design Principles (Core): Focuses on designing robust and scalable software systems.
Database Systems (Core): Introduces SQL and database design for software applications.
Final Year Project (Core): A capstone project developing a complete software solution."
Computer Networks MSc,masters,School of Computing,Advanced study of network design protocols and security,"networking,protocols,cybersecurity,wireless networks",1 year,10500,16500,3.0,6.5,8.7,"Network Engineer, Network Security Specialist","Network Design and Protocols (Core): Covers network architectures and communication protocols.
Wireless Networking (Core): Focuses on designing and securing wireless network systems.
Network Security (Core): Teaches techniques to protect networks from cyber threats.
Cloud Networking (Core): Explores networking in cloud environments like AWS and Azure.
Dissertation (Core): A research project on network design or security innovations."
Robotics MSc,masters,School of Computing,Explores robotics design automation and control systems,"robotics,automation,control systems,AI",1 year,10500,16500,3.2,6.5,8.6,"Robotics Engineer, Automation Specialist","Robotics Design and Control (Core): Covers designing robotic systems and control algorithms.
AI for Robotics (Core): Introduces AI techniques for autonomous robotic systems.
Automation Systems (Core): Focuses on industrial automation and robotic applications.
Embedded Systems (Core): Teaches programming for robotic hardware and sensors.
Dissertation (Core): A research project on robotics design or AI applications."
Web Development BSc,undergraduate,School of Computing,Practical program in designing and building responsive web applications,"web development,HTML,CSS,javascript,react",3 years,9250,13500,2.7,6.0,8.4,"Web Developer, Frontend Developer","Web Design Fundamentals (Core): Covers HTML, CSS, and responsive design principles.
JavaScript Programming (Core): Teaches JavaScript for interactive web applications.
Frontend Frameworks (Core): Introduces React for building modern web interfaces.
Backend Development (Core): Covers server-side programming with Node.js and databases.
Final Year Project (Core): A capstone project developing a full-stack web application."
Database Systems MSc,masters,School of Computing,Advanced study of database design and big data technologies,"databases,SQL,NoSQL,big data",1 year,10500,16500,3.0,6.5,8.5,"Database Administrator, Data Engineer","Database Design and SQL (Core): Covers relational database design and advanced SQL queries.
NoSQL Databases (Core): Introduces non-relational databases like MongoDB and Cassandra.
Big Data Management (Core): Focuses on managing large-scale data with Hadoop and Spark.
Data Security (Core): Teaches techniques to secure database systems from threats.
Dissertation (Core): A research project on database optimization or big data solutions."
Information Security Postgraduate Diploma,postgraduate diploma,School of Computing,Condensed program in information security and digital forensics,"information security,cybersecurity,forensics",9 months,8500,13000,3.0,6.5,8.4,"Security Analyst, Forensics Specialist","Information Security Fundamentals (Core): Covers core concepts in securing IT systems.
Digital Forensics Techniques (Core): Teaches methods for investigating cyber incidents.
Network Security Basics (Core): Introduces protocols for securing network infrastructures.
Ethical Hacking (Core): Provides hands-on experience in penetration testing.
Capstone Project (Core): A practical project applying security and forensics skills."
Machine Learning Apprenticeship,apprenticeship,School of Computing,Work-based training in machine learning and data analytics,"machine learning,data analytics,apprenticeship,AI",2 years,8000,12000,2.5,5.5,7.9,"Machine Learning Engineer, Data Analyst","Introduction to Machine Learning (Core): Teaches basic ML algorithms and their applications.
Data Analytics Fundamentals (Core): Covers data cleaning, visualization, and analysis techniques.
Work-Based ML Project (Core): A practical project applying ML in a workplace setting.
Python for Machine Learning (Core): Focuses on Python libraries like TensorFlow and Scikit-learn.
Professional Skills (Core): Emphasizes workplace communication and ethics."
Computer Vision MSc,masters,School of Computing,Focuses on image processing and computer vision technologies,"computer vision,image processing,AI,machine learning",1 year,10500,16500,3.2,6.5,8.8,"Computer Vision Engineer, AI Developer","Image Processing Techniques (Core): Covers digital image processing and feature extraction.
Computer Vision Algorithms (Core): Introduces algorithms for object detection and recognition.
Deep Learning for Vision (Core): Focuses on neural networks for computer vision tasks.
AI Ethics and Applications (Core): Explores ethical issues in AI-driven vision systems.
Dissertation (Core): A research project on computer vision innovations."
Medicine MBBS,undergraduate,School of Medicine,Comprehensive medical education program with clinical training,"medicine,healthcare,clinical,anatomy,physiology",5 years,9250,38000,3.8,7.5,7.8,"Doctor, Surgeon, Medical Researcher","Human Anatomy and Physiology (Core): Covers the structure and function of the human body.
Clinical Skills (Core): Teaches patient examination, diagnosis, and communication skills.
Pathology and Pharmacology (Core): Introduces disease mechanisms and drug treatments.
Clinical Rotations (Core): Provides hands-on experience in hospital settings.
Capstone Research Project (Core): A project exploring a medical topic or clinical issue."
Medicine MBBS with Placement,undergraduate with placement,School of Medicine,Medical program with a year of clinical placement,"medicine,healthcare,clinical,placement",6 years,9250,38000,3.8,7.5,7.9,"Doctor, Surgeon, Healthcare Consultant","Human Anatomy and Physiology (Core): Teaches the fundamentals of human body systems.
Clinical Skills (Core): Focuses on patient interaction and diagnostic techniques.
Clinical Placement Year (Core): A year-long placement in a healthcare setting.
Pathology and Pharmacology (Core): Covers disease processes and medical treatments.
Capstone Research Project (Core): A project integrating clinical experience with research."
Medical Research MSc,masters,School of Medicine,Advanced study in medical research methodologies,"medical research,clinical trials,healthcare,research",1 year,10500,16500,3.2,6.5,7.7,"Medical Researcher, Clinical Scientist","Research Methodologies (Core): Introduces advanced methods for medical research.
Clinical Trials Design (Core): Covers designing and conducting clinical trials.
Biostatistics (Core): Teaches statistical methods for analyzing medical data.
Ethics in Medical Research (Core): Explores ethical considerations in healthcare research.
Dissertation (Core): A research project on a medical or clinical topic."
Medical Research PhD,PhD,School of Medicine,Research-focused program in medical sciences,"medical research,clinical trials,biomedicine,research",3 years,12000,18000,3.2,6.5,7.6,"Research Scientist, Academic, Clinical Researcher","Advanced Research Methods (Core): Covers methodologies for biomedical research.
Clinical Trial Management (Core): Focuses on designing and managing clinical studies.
Biomedical Data Analysis (Core): Teaches advanced data analysis techniques.
Research Ethics (Core): Examines ethical issues in medical research.
Thesis (Core): An original research contribution to medical sciences."
Clinical Practice Postgraduate Diploma,postgraduate diploma,School of Medicine,Condensed program in advanced clinical practice,"clinical practice,healthcare,patient care",9 months,8500,13000,3.0,6.5,7.5,"Clinical Practitioner, Healthcare Consultant","Advanced Clinical Skills (Core): Teaches advanced patient assessment and care techniques.
Patient Care Management (Core): Focuses on managing complex patient cases.
Healthcare Ethics (Core): Covers ethical considerations in clinical practice.
Clinical Decision Making (Core): Introduces evidence-based decision-making strategies.
Capstone Project (Core): A practical project applying clinical skills."
Biomedical Sciences BSc,undergraduate,School of Life Sciences,Study of biological processes and diseases with laboratory research,"biomedical,biology,medical research,genetics",3 years,9250,13500,3.0,6.0,7.2,"Research Scientist, Laboratory Technician","Cell Biology (Core): Covers cellular structures and functions in health and disease.
Genetics and Molecular Biology (Core): Introduces genetic principles and molecular techniques.
Biomedical Laboratory Skills (Core): Teaches practical lab techniques for research.
Pathophysiology (Core): Explores disease mechanisms and their biological impact.
Final Year Project (Core): A research project in a biomedical topic."
Biotechnology MSc,masters,School of Life Sciences,Advanced biotechnology program for innovative solutions,"biotechnology,genetic engineering,pharmaceuticals",1 year,10500,16500,3.2,6.5,8.3,"Biotechnology Researcher, Pharmaceutical Scientist","Genetic Engineering (Core): Covers techniques for modifying genetic material.
Bioprocessing Technologies (Core): Focuses on industrial biotechnology processes.
Pharmaceutical Biotechnology (Core): Explores drug development and biopharmaceuticals.
Bioinformatics Basics (Core): Introduces computational tools for biological data analysis.
Dissertation (Core): A research project on a biotechnology innovation."
Neuroscience MSc,masters,School of Life Sciences,Advanced study of the brain and nervous system,"neuroscience,brain,cognitive science,neurobiology",1 year,10500,16500,3.2,6.5,8.1,"Neuroscientist, Clinical Researcher","Neuroanatomy and Physiology (Core): Covers the structure and function of the nervous system.
Cognitive Neuroscience (Core): Explores brain processes underlying cognition.
Neuropharmacology (Core): Focuses on drugs affecting the nervous system.
Research Methods in Neuroscience (Core): Teaches experimental design for brain research.
Dissertation (Core): A research project on a neuroscience topic."
Genetics BSc,undergraduate,School of Life Sciences,Explores genetic principles and molecular biology,"genetics,molecular biology,biotechnology,genomics",3 years,9250,13500,3.0,6.0,7.5,"Geneticist, Bioinformatics Specialist","Molecular Genetics (Core): Covers DNA structure, replication, and gene expression.
Genomics and Bioinformatics (Core): Introduces computational analysis of genetic data.
Genetic Engineering (Core): Teaches techniques for manipulating genetic material.
Population Genetics (Core): Explores genetic variation in populations.
Final Year Project (Core): A research project in genetics or genomics."
Microbiology MSc,masters,School of Life Sciences,Study of microorganisms and their applications,"microbiology,bacteria,viruses,immunology",1 year,10500,16500,3.2,6.5,7.9,"Microbiologist, Research Scientist","Bacterial Pathogenesis (Core): Covers mechanisms of bacterial infections.
Virology (Core): Focuses on the study of viruses and their impact.
Immunology Fundamentals (Core): Introduces immune system functions and responses.
Microbial Biotechnology (Core): Explores applications of microorganisms in industry.
Dissertation (Core): A research project on a microbiology topic."
Biochemistry BSc,undergraduate,School of Life Sciences,Study of chemical processes in living organisms,"biochemistry,molecular biology,chemistry",3 years,9250,13500,3.0,6.0,7.3,"Biochemist, Laboratory Technician","Biomolecules (Core): Covers the structure and function of proteins, lipids, and carbohydrates.
Enzymology (Core): Focuses on enzyme kinetics and biochemical reactions.
Molecular Biology Techniques (Core): Teaches lab methods for studying biomolecules.
Metabolism (Core): Explores biochemical pathways in living organisms.
Final Year Project (Core): A research project in biochemistry."
Pharmacology MSc,masters,School of Life Sciences,Advanced study of drug action and development,"pharmacology,drug development,pharmaceuticals",1 year,10500,16500,3.2,6.5,8.0,"Pharmacologist, Clinical Researcher","Drug Design and Development (Core): Covers the process of creating new pharmaceuticals.
Pharmacodynamics (Core): Explores how drugs interact with biological systems.
Clinical Pharmacology (Core): Focuses on drug applications in clinical settings.
Toxicology (Core): Studies the adverse effects of drugs and chemicals.
Dissertation (Core): A research project on a pharmacological topic."
Bioinformatics MSc,masters,School of Life Sciences,Combines biology and computational analysis,"bioinformatics,genomics,data analysis",1 year,10500,16500,3.0,6.5,8.2,"Bioinformatics Specialist, Data Scientist","Computational Biology (Core): Introduces algorithms for biological data analysis.
Genomics and Proteomics (Core): Covers sequencing and analysis of genomes and proteins.
Data Science for Bioinformatics (Core): Teaches statistical and machine learning techniques.
Programming for Bioinformatics (Core): Focuses on Python and R for data analysis.
Dissertation (Core): A research project on a bioinformatics challenge."
Environmental Biology BSc,undergraduate,School of Life Sciences,Focuses on ecosystems and conservation,"environmental biology,ecology,conservation",3 years,9250,13500,2.8,6.0,7.4,"Environmental Biologist, Ecologist","Ecology Fundamentals (Core): Covers ecosystems, biodiversity, and environmental interactions.
Conservation Biology (Core): Focuses on species preservation and habitat restoration.
Environmental Monitoring (Core): Teaches techniques for assessing environmental health.
Climate Change Biology (Core): Explores the biological impacts of climate change.
Final Year Project (Core): A research project on an environmental biology topic."
Marine Biology MSc,masters,School of Life Sciences,Study of marine ecosystems and conservation,"marine biology,oceanography,ecology",1 year,10500,16500,3.0,6.5,7.8,"Marine Biologist, Oceanographer","Marine Ecosystems (Core): Covers the structure and dynamics of marine environments.
Oceanography (Core): Introduces physical and biological aspects of the ocean.
Marine Conservation (Core): Focuses on preserving marine biodiversity.
Field Research Techniques (Core): Teaches methods for studying marine organisms.
Dissertation (Core): A research project on a marine biology topic."
Biotechnology PhD,PhD,School of Life Sciences,Research in biotechnological innovations,"biotechnology,research,genetic engineering",3 years,12000,18000,3.2,6.5,8.2,"Biotechnology Researcher, Academic","Advanced Biotechnology Research (Core): Covers methodologies for innovative biotech research.
Genetic Engineering Techniques (Core): Focuses on advanced gene-editing technologies.
Bioprocessing Applications (Core): Explores industrial applications of biotechnology.
Ethics in Biotechnology (Core): Examines ethical issues in biotech research.
Thesis (Core): An original research contribution to biotechnology."
Molecular Biology Postgraduate Diploma,postgraduate diploma,School of Life Sciences,Condensed program in molecular biology techniques,"molecular biology,genetics,biotechnology",9 months,8500,13000,3.0,6.5,7.7,"Molecular Biologist, Research Technician","Molecular Biology Techniques (Core): Teaches lab methods for DNA and protein analysis.
Gene Expression Analysis (Core): Covers techniques for studying gene regulation.
Biotechnology Applications (Core): Introduces practical uses of molecular biology.
Bioinformatics Basics (Core): Teaches computational tools for molecular data.
Capstone Project (Core): A practical project applying molecular biology skills."
Business Management MBA,masters,Business School,Advanced business program for leadership and strategy,"business,management,leadership,strategy",2 years,12000,18500,3.0,6.5,7.5,"Business Manager, Consultant, CEO","Strategic Management (Core): Covers business strategy formulation and execution.
Leadership and Organizational Behavior (Core): Focuses on leading teams and managing change.
Financial Management (Core): Teaches budgeting, investment, and financial analysis.
Global Business Environment (Core): Explores international markets and trade.
Capstone Project (Core): A strategic business plan or consultancy project."
Digital Marketing MSc,masters,Business School,Modern marketing with focus on social media and SEO,"digital marketing,social media,SEO,analytics",1 year,10000,15500,2.8,6.5,8.0,"Digital Marketer, Social Media Manager","Digital Marketing Strategies (Core): Covers SEO, PPC, and content marketing techniques.
Social Media Marketing (Core): Focuses on leveraging social platforms for brand growth.
Analytics for Marketing (Core): Teaches data-driven marketing using tools like Google Analytics.
Consumer Behavior (Core): Explores psychological factors in marketing decisions.
Dissertation (Core): A research project on digital marketing trends."
Finance MSc,masters,Business School,Advanced finance program covering investment and risk,"finance,banking,investment,risk management",1 year,10500,16000,3.0,6.5,7.8,"Financial Analyst, Investment Banker","Investment Analysis (Core): Covers portfolio management and financial modeling.
Risk Management (Core): Focuses on identifying and mitigating financial risks.
Corporate Finance (Core): Teaches financial strategies for business growth.
Financial Markets (Core): Explores global financial systems and instruments.
Dissertation (Core): A research project on a finance-related topic."
International Business BA,undergraduate,Business School,Global business with focus on trade and economics,"international business,global trade,economics",3 years,9250,13500,2.7,6.5,7.0,"International Business Manager, Trade Specialist","Global Trade and Economics (Core): Covers international markets and trade policies.
Cross-Cultural Management (Core): Focuses on managing diverse global teams.
International Marketing (Core): Teaches marketing strategies for global markets.
Business Law (Core): Introduces legal frameworks for international business.
Final Year Project (Core): A project analyzing global business challenges."
Entrepreneurship MSc,masters,Business School,Focuses on starting and scaling businesses,"entrepreneurship,startups,innovation",1 year,10500,16500,3.0,6.5,7.7,"Entrepreneur, Startup Founder","Entrepreneurial Strategies (Core): Covers business model development and innovation.
Startup Financing (Core): Teaches funding strategies for new ventures.
Innovation Management (Core): Focuses on fostering creativity and innovation.
Business Planning (Core): Guides students in creating viable business plans.
Dissertation (Core): A project developing a startup concept or strategy."
Human Resource Management MSc,masters,Business School,Study of HR strategies and employee relations,"human resources,HR,employee relations",1 year,10000,15500,2.8,6.5,7.4,"HR Manager, Recruitment Specialist","HR Strategy and Planning (Core): Covers strategic approaches to human resource management.
Employee Relations (Core): Focuses on managing workplace dynamics and conflicts.
Recruitment and Selection (Core): Teaches effective hiring and talent management.
Organizational Behavior (Core): Explores psychological aspects of workplace dynamics.
Dissertation (Core): A research project on HR practices or challenges."
Marketing BA,undergraduate,Business School,Study of marketing principles and branding,"marketing,branding,consumer behavior",3 years,9250,13500,2.7,6.0,7.2,"Marketing Manager, Brand Manager","Marketing Principles (Core): Covers core concepts in marketing and branding.
Consumer Behavior (Core): Explores psychological factors in purchasing decisions.
Digital Marketing Basics (Core): Introduces SEO, social media, and online advertising.
Market Research (Core): Teaches techniques for gathering and analyzing market data.
Final Year Project (Core): A project developing a marketing campaign or strategy."
Supply Chain Management MSc,masters,Business School,Focuses on logistics and supply chain strategies,"supply chain,logistics,operations",1 year,10500,16500,3.0,6.5,7.6,"Supply Chain Manager, Logistics Analyst","Supply Chain Strategies (Core): Covers planning and optimizing supply chains.
Logistics Management (Core): Focuses on transportation and distribution systems.
Operations Management (Core): Teaches efficient production and service operations.
Global Supply Chains (Core): Explores international logistics and trade.
Dissertation (Core): A research project on supply chain optimization."
Accounting BSc,undergraduate,Business School,Study of financial accounting and auditing,"accounting,financial reporting,auditing",3 years,9250,13500,2.8,6.0,7.3,"Accountant, Auditor","Financial Accounting (Core): Covers principles of financial reporting and bookkeeping.
Auditing and Assurance (Core): Teaches techniques for financial audits and compliance.
Management Accounting (Core): Focuses on budgeting and cost analysis for businesses.
Taxation (Core): Introduces tax laws and financial planning.
Final Year Project (Core): A project analyzing financial or auditing practices."
Business Analytics MSc,masters,Business School,Combines data analysis and business strategy,"business analytics,data analysis,statistics",1 year,10500,16500,3.0,6.5,8.1,"Business Analyst, Data Analyst","Data Analytics for Business (Core): Teaches data-driven decision-making techniques.
Statistical Analysis (Core): Covers statistical methods for business insights.
Business Intelligence Tools (Core): Introduces tools like Tableau and Power BI.
Predictive Analytics (Core): Focuses on forecasting and predictive modeling.
Dissertation (Core): A research project applying analytics to business problems."
Business Management BA,undergraduate,Business School,Comprehensive business program with focus on management,"business,management,operations",3 years,9250,13500,2.7,6.0,7.1,"Business Manager, Operations Manager","Introduction to Management (Core): Covers core management principles and practices.
Operations Management (Core): Focuses on efficient business operations and processes.
Business Strategy (Core): Teaches strategic planning and competitive analysis.
Financial Management Basics (Core): Introduces budgeting and financial decision-making.
Final Year Project (Core): A project developing a business strategy or plan."
Entrepreneurship Apprenticeship,apprenticeship,Business School,Work-based training in business startups,"entrepreneurship,apprenticeship,startups",2 years,8000,12000,2.5,5.5,7.5,"Entrepreneur, Business Consultant","Business Startup Fundamentals (Core): Teaches basics of launching a business.
Work-Based Business Project (Core): A practical project in a startup environment.
Entrepreneurial Skills (Core): Focuses on innovation, pitching, and networking.
Financial Planning for Startups (Core): Covers budgeting and funding for new ventures.
Professional Skills (Core): Emphasizes workplace communication and ethics."
Psychology BSc,undergraduate,School of Psychology,Study of human behavior and mental processes,"psychology,behavior,mental health",3 years,9250,13500,2.5,6.0,6.5,"Psychologist, Therapist, Researcher","Introduction to Psychology (Core): Covers foundational theories of human behavior.
Cognitive Psychology (Core): Explores mental processes like memory and perception.
Social Psychology (Core): Focuses on social influences on behavior.
Research Methods in Psychology (Core): Teaches experimental design and data analysis.
Final Year Project (Core): A research project on a psychological topic."
Clinical Psychology MSc,masters,School of Psychology,Advanced training in psychological assessment,"clinical psychology,therapy,mental health",1 year,10500,16500,3.2,6.5,7.8,"Clinical Psychologist, Therapist","Psychological Assessment (Core): Covers diagnostic tools and techniques for mental health.
Therapeutic Interventions (Core): Teaches therapy methods like CBT and psychotherapy.
Clinical Practice Skills (Core): Focuses on patient interaction and case management.
Ethics in Clinical Psychology (Core): Explores ethical issues in mental health practice.
Dissertation (Core): A research project on a clinical psychology topic."
Cognitive Psychology MSc,masters,School of Psychology,Study of mental processes like perception,"cognitive psychology,memory,perception",1 year,10500,16500,3.2,6.5,7.7,"Cognitive Psychologist, Researcher","Cognitive Processes (Core): Covers memory, perception, and decision-making.
Neuropsychology Basics (Core): Introduces brain-behavior relationships.
Experimental Design in Psychology (Core): Teaches methods for cognitive research.
Cognitive Modeling (Core): Explores computational models of mental processes.
Dissertation (Core): A research project on cognitive psychology."
Forensic Psychology MSc,masters,School of Psychology,Psychology in criminal justice and behavioral analysis,"forensic psychology,criminal justice",1 year,10500,16500,3.0,6.5,7.9,"Forensic Psychologist, Criminal Profiler","Criminal Behavior Analysis (Core): Covers psychological theories of crime.
Forensic Assessment (Core): Teaches evaluation techniques for legal contexts.
Psychology and Law (Core): Explores the intersection of psychology and criminal justice.
Ethics in Forensic Psychology (Core): Examines ethical challenges in forensic practice.
Dissertation (Core): A research project on forensic psychology."
Developmental Psychology BSc,undergraduate,School of Psychology,Explores human development across the lifespan,"developmental psychology,child psychology",3 years,9250,13500,2.7,6.0,7.0,"Developmental Psychologist, Child Therapist","Child Development (Core): Covers psychological development from infancy to adolescence.
Lifespan Psychology (Core): Explores developmental changes across the lifespan.
Developmental Disorders (Core): Focuses on conditions like autism and ADHD.
Research Methods in Psychology (Core): Teaches data collection and analysis techniques.
Final Year Project (Core): A research project on developmental psychology."
Social Psychology MSc,masters,School of Psychology,Study of social influences on behavior,"social psychology,group dynamics",1 year,10500,16500,3.0,6.5,7.6,"Social Psychologist, Researcher","Group Dynamics (Core): Covers social interactions and group behavior.
Social Influence (Core): Explores persuasion, conformity, and social norms.
Interpersonal Relationships (Core): Focuses on psychological aspects of relationships.
Research Methods in Social Psychology (Core): Teaches experimental design for social research.
Dissertation (Core): A research project on social psychology."
Neuropsychology MSc,masters,School of Psychology,Focuses on brain-behavior relationships,"neuropsychology,brain,neurology",1 year,10500,16500,3.2,6.5,7.8,"Neuropsychologist, Clinical Researcher","Brain and Behavior (Core): Covers neural foundations of psychological processes.
Neuropsychological Assessment (Core): Teaches diagnostic tools for brain disorders.
Cognitive Neuroscience (Core): Explores brain mechanisms underlying cognition.
Research Methods in Neuropsychology (Core): Focuses on experimental design for brain research.
Dissertation (Core): A research project on neuropsychology."
